unitid,institution,year,state,county,fips,n_pell,per_pell,undergrad_headcount
100654,Alabama A & M University,2021,Alabama,Madison County,"Madison County, AL",3490,69,
100663,University of Alabama at Birmingham,2021,Alabama,Jefferson County,"Jefferson County, AL",4514,33,0
100690,Amridge University,2021,Alabama,Montgomery County,"Montgomery County, AL",234,79,8
100706,University of Alabama in Huntsville,2021,Alabama,Madison County,"Madison County, AL",1908,24,2
100724,Alabama State University,2021,Alabama,Montgomery County,"Montgomery County, AL",2604,72,0
100733,University of Alabama System Office,2021,Alabama,Tuscaloosa County,"Tuscaloosa County, AL",,,14
100751,The University of Alabama,2021,Alabama,Tuscaloosa County,"Tuscaloosa County, AL",5421,17,360
100760,Central Alabama Community College,2021,Alabama,Tallapoosa County,"Tallapoosa County, AL",461,30,55
100812,Athens State University,2021,Alabama,Limestone County,"Limestone County, AL",1085,40,1170
100830,Auburn University at Montgomery,2021,Alabama,Montgomery County,"Montgomery County, AL",2109,48,1195
100858,Auburn University,2021,Alabama,Lee County,"Lee County, AL",3188,13,27
100937,Birmingham-Southern College,2021,Alabama,Jefferson County,"Jefferson County, AL",243,22,381
101028,Chattahoochee Valley Community College,2021,Alabama,Russell County,"Russell County, AL",639,46,22
101116,South University-Montgomery,2021,Alabama,Montgomery County,"Montgomery County, AL",160,55,1514
101143,Enterprise State Community College,2021,Alabama,Coffee County,"Coffee County, AL",671,37,0
101161,Coastal Alabama Community College,2021,Alabama,Baldwin County,"Baldwin County, AL",2090,31,40
101189,Faulkner University,2021,Alabama,Montgomery County,"Montgomery County, AL",963,46,274
101240,Gadsden State Community College,2021,Alabama,Etowah County,"Etowah County, AL",1806,45,52
101277,New Beginning College of Cosmetology,2021,Alabama,Marshall County,"Marshall County, AL",85,65,85
101286,George C Wallace Community College-Dothan,2021,Alabama,Dale County,"Dale County, AL",1596,43,388
101295,George C Wallace State Community College-Hanceville,2021,Alabama,Cullman County,"Cullman County, AL",1900,40,28
101301,George C Wallace State Community College-Selma,2021,Alabama,Dallas County,"Dallas County, AL",654,50,54
101365,Herzing University-Birmingham,2021,Alabama,Jefferson County,"Jefferson County, AL",413,67,991
101435,Huntingdon College,2021,Alabama,Montgomery County,"Montgomery County, AL",363,39,178
101453,Heritage Christian University,2021,Alabama,Lauderdale County,"Lauderdale County, AL",36,51,12946
101462,J. F. Drake State Community and Technical College,2021,Alabama,Madison County,"Madison County, AL",373,45,0
101471,J F Ingram State Technical College,2021,Alabama,Elmore County,"Elmore County, AL",72,18,2437
101480,Jacksonville State University,2021,Alabama,Calhoun County,"Calhoun County, AL",3183,41,24
101505,Jefferson State Community College,2021,Alabama,Jefferson County,"Jefferson County, AL",2410,28,16
101514,John C Calhoun State Community College,2021,Alabama,Limestone County,"Limestone County, AL",2239,27,146
101541,Judson College,2021,Alabama,Perry County,"Perry County, AL",,,393
101569,Lawson State Community College,2021,Alabama,Jefferson County,"Jefferson County, AL",1736,61,34
101587,University of West Alabama,2021,Alabama,Sumter County,"Sumter County, AL",1190,53,19
101602,Lurleen B Wallace Community College,2021,Alabama,Covington County,"Covington County, AL",654,39,71
101648,Marion Military Institute,2021,Alabama,Perry County,"Perry County, AL",143,36,19
101675,Miles College,2021,Alabama,Jefferson County,"Jefferson County, AL",1127,78,8
101693,University of Mobile,2021,Alabama,Mobile County,"Mobile County, AL",502,29,52
101709,University of Montevallo,2021,Alabama,Shelby County,"Shelby County, AL",880,39,21
101736,Northwest-Shoals Community College,2021,Alabama,Colbert County,"Colbert County, AL",1243,37,8
101879,University of North Alabama,2021,Alabama,Lauderdale County,"Lauderdale County, AL",2027,34,125
101897,Northeast Alabama Community College,2021,Alabama,Jackson County,"Jackson County, AL",990,39,121
101912,Oakwood University,2021,Alabama,Madison County,"Madison County, AL",632,47,11
101994,Reid State Technical College,2021,Alabama,Conecuh County,"Conecuh County, AL",127,46,1
102030,Bishop State Community College,2021,Alabama,Mobile County,"Mobile County, AL",1045,48,0
102049,Samford University,2021,Alabama,Jefferson County,"Jefferson County, AL",411,11,364
102058,Selma University,2021,Alabama,Dallas County,"Dallas County, AL",0,0,29
102067,Shelton State Community College,2021,Alabama,Tuscaloosa County,"Tuscaloosa County, AL",1426,38,31
102076,Snead State Community College,2021,Alabama,Marshall County,"Marshall County, AL",783,39,52
102094,University of South Alabama,2021,Alabama,Mobile County,"Mobile County, AL",3323,37,3
102234,Spring Hill College,2021,Alabama,Mobile County,"Mobile County, AL",387,36,37
102270,Stillman College,2021,Alabama,Tuscaloosa County,"Tuscaloosa County, AL",553,74,447
102298,Talladega College,2021,Alabama,Talladega County,"Talladega County, AL",931,72,34
102313,H Councill Trenholm State Community College,2021,Alabama,Montgomery County,"Montgomery County, AL",908,60,617
102368,Troy University,2021,Alabama,Pike County,"Pike County, AL",5120,40,7
102377,Tuskegee University,2021,Alabama,Macon County,"Macon County, AL",299,13,140
102395,United States Sports Academy,2021,Alabama,Baldwin County,"Baldwin County, AL",29,22,236
102429,Bevill State Community College,2021,Alabama,Walker County,"Walker County, AL",1052,33,14
102553,University of Alaska Anchorage,2021,Alaska,Anchorage Municipality,"Anchorage Municipality, AK",2264,20,14
102580,Alaska Bible College,2021,Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",19,48,636
102614,University of Alaska Fairbanks,2021,Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",1274,22,54277
102632,University of Alaska Southeast,2021,Alaska,Juneau City and Borough,"Juneau City and Borough, AK",295,16,325
102669,Alaska Pacific University,2021,Alaska,Anchorage Municipality,"Anchorage Municipality, AK",128,41,0
102711,Alaska Vocational Technical Center,2021,Alaska,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",39,5,87
102845,Charter College,2021,Washington,Clark County,"Clark County, WA",1155,54,137
103501,Alaska Career College,2021,Alaska,Anchorage Municipality,"Anchorage Municipality, AK",354,64,117
103529,University of Alaska System of Higher Education,2021,Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",,,150
103741,Empire Beauty School-Tucson,2021,Arizona,Pima County,"Pima County, AZ",124,60,408
103893,Carrington College-Phoenix North,2021,Arizona,Maricopa County,"Maricopa County, AZ",956,55,38
103909,Carrington College-Mesa,2021,Arizona,Maricopa County,"Maricopa County, AZ",414,47,211
103927,Carrington College-Tucson,2021,Arizona,Pima County,"Pima County, AZ",367,58,2
103954,Arizona Academy of Beauty,2021,Arizona,Pima County,"Pima County, AZ",58,70,269
103963,Miller-Motte College-Arizona Automotive Institute,2021,Arizona,Maricopa County,"Maricopa County, AZ",407,62,62
104090,Brookline College-Phoenix,2021,Arizona,Maricopa County,"Maricopa County, AZ",1065,55,516
104151,Arizona State University Campus Immersion,2021,Arizona,Maricopa County,"Maricopa County, AZ",20680,33,103
104160,Arizona Western College,2021,Arizona,Yuma County,"Yuma County, AZ",2612,40,72
104179,University of Arizona,2021,Arizona,Pima County,"Pima County, AZ",10242,29,15
104188,Southwest University of Visual Arts-Tucson,2021,Arizona,Pima County,"Pima County, AZ",,,16
104346,Central Arizona College,2021,Arizona,Pinal County,"Pinal County, AZ",1368,34,473
104391,Charles of Italy Beauty College,2021,Arizona,Mohave County,"Mohave County, AZ",47,54,101
104425,Cochise County Community College District,2021,Arizona,Cochise County,"Cochise County, AZ",1269,38,210
104443,Empire Beauty School-Chandler,2021,Arizona,Maricopa County,"Maricopa County, AZ",39,49,95
104568,Avalon Institute-Mesa,2021,Arizona,Maricopa County,"Maricopa County, AZ",347,58,240
104577,Eastern Arizona College,2021,Arizona,Graham County,"Graham County, AZ",928,21,46
104586,Embry-Riddle Aeronautical University-Prescott,2021,Arizona,Yavapai County,"Yavapai County, AZ",563,19,472
104665,The School of Architecture,2021,Arizona,Maricopa County,"Maricopa County, AZ",,,28
104708,Glendale Community College,2021,Arizona,Maricopa County,"Maricopa County, AZ",4220,29,95
104717,Grand Canyon University,2021,Arizona,Maricopa County,"Maricopa County, AZ",27481,43,6840
105136,Maricopa Community College System Office,2021,Arizona,Maricopa County,"Maricopa County, AZ",,,260
105145,GateWay Community College,2021,Arizona,Maricopa County,"Maricopa County, AZ",1340,29,28
105154,Mesa Community College,2021,Arizona,Maricopa County,"Maricopa County, AZ",3880,23,381
105206,Mohave Community College,2021,Arizona,Mohave County,"Mohave County, AZ",1261,35,43
