county,state,fips,n_pell,headcount,per_pell,per_pell_state,gap,fips_code,pop_density
Abbeville County,South Carolina,Abbeville County, SC,322,733,44,33,11,45001,NA
Acadia Parish,Louisiana,Acadia Parish, LA,1276,3142,41,42,-1,22001,NA
Accomack County,Virginia,Accomack County, VA,186,677,27,29,-2,51001,NA
Ada County,Idaho,Ada County, ID,5435,22940,24,27,-3,16001,187.886083392374
Adair County,Kentucky,Adair County, KY,1223,1929,63,35,28,21001,NA
Adair County,Missouri,Adair County, MO,800,4429,18,30,-12,29001,NA
Adams County,Colorado,Adams County, CO,8085,35138,23,30,-7,08001,172.860105693675
Adams County,Illinois,Adams County, IL,1543,3188,48,33,15,17001,NA
Adams County,Nebraska,Adams County, NE,315,956,33,25,8,31001,NA
Adams County,Pennsylvania,Adams County, PA,487,2507,19,30,-11,42001,77.4994172174372
Addison County,Vermont,Addison County, VT,409,2580,16,22,-6,50001,NA
Aguada Municipio,Puerto Rico,Aguada Municipio, PR,26,40,65,73,-8,NA,NA
Aguadilla Municipio,Puerto Rico,Aguadilla Municipio, PR,5774,6888,84,73,11,NA,NA
Aiken County,South Carolina,Aiken County, SC,2280,5477,42,33,9,45003,61.5882969238455
Alachua County,Florida,Alachua County, FL,12884,52141,25,38,-13,12001,123.211810163036
Alamance County,North Carolina,Alamance County, NC,1829,10477,17,35,-18,37001,158.547886535664
Alameda County,California,Alameda County, CA,27036,112199,24,31,-7,06001,863.300018525941
Alamosa County,Colorado,Alamosa County, CO,707,1902,37,30,7,08003,NA
Albany County,New York,Albany County, NY,11688,41438,28,36,-8,36001,231.694987859983
Albany County,Wyoming,Albany County, WY,2129,10099,21,21,0,56001,NA
Albemarle County,Virginia,Albemarle County, VA,3548,22178,16,29,-13,51003,60.8437961051622
Alcorn County,Mississippi,Alcorn County, MS,84,131,64,42,22,28003,NA
Alexandria City,Virginia,Alexandria City, VA,766,1423,54,29,25,NA,NA
Allegany County,Maryland,Allegany County, MD,2257,6642,34,29,5,24001,61.9401998057928
Allegany County,New York,Allegany County, NY,2726,6130,44,36,8,36003,NA
Alleghany County,Virginia,Alleghany County, VA,284,1075,26,29,-3,51005,NA
Allegheny County,Pennsylvania,Allegheny County, PA,15499,65993,23,30,-7,42003,654.729473670449
Allen County,Indiana,Allen County, IN,6336,15838,40,29,11,18003,228.263757044343
Allen County,Kansas,Allen County, KS,426,2113,20,27,-7,20001,NA
Allen County,Ohio,Allen County, OH,2502,9189,27,28,-1,39003,97.5270616372612
Allendale County,South Carolina,Allendale County, SC,256,878,29,33,-4,45005,NA
Alpena County,Michigan,Alpena County, MI,412,1436,29,30,-1,26007,NA
Amherst County,Virginia,Amherst County, VA,113,356,32,29,3,51009,NA
Anchorage Municipality,Alaska,Anchorage Municipality, AK,2746,12188,23,21,2,02020,65.1921944978542
Anderson County,South Carolina,Anderson County, SC,3251,9830,33,33,0,45007,111.910666310546
Androscoggin County,Maine,Androscoggin County, ME,1480,5207,28,28,0,23001,91.6155208696087
Angelina County,Texas,Angelina County, TX,1559,4473,35,33,2,48005,41.8662704324022
Anne Arundel County,Maryland,Anne Arundel County, MD,2859,13496,21,29,-8,24003,549.514161783999
Anoka County,Minnesota,Anoka County, MN,2288,10293,22,26,-4,27003,335.814318246418
Anson County,North Carolina,Anson County, NC,561,3019,19,35,-16,37007,NA
Apache County,Arizona,Apache County, AZ,651,1369,48,35,13,04001,2.26275901761408
Arapahoe County,Colorado,Arapahoe County, CO,6841,31720,22,30,-8,08005,316.892345380331
Arecibo Municipio,Puerto Rico,Arecibo Municipio, PR,6329,7653,83,73,10,NA,NA
Arlington County,Virginia,Arlington County, VA,2587,6171,42,29,13,51013,3459.89336580874
Armstrong County,Pennsylvania,Armstrong County, PA,118,223,53,30,23,42005,38.4772995497776
Aroostook County,Maine,Aroostook County, ME,1096,3869,28,28,0,23003,3.86949650915255
Arroyo Municipio,Puerto Rico,Arroyo Municipio, PR,187,201,93,73,20,NA,NA
Ascension Parish,Louisiana,Ascension Parish, LA,915,2755,33,42,-9,22005,170.877084470742
Ashland County,Ohio,Ashland County, OH,929,3734,25,28,-3,39005,NA
Ashland County,Wisconsin,Ashland County, WI,200,570,35,25,10,55003,NA
Ashtabula County,Ohio,Ashtabula County, OH,530,1370,39,28,11,39007,53.5301035787844
Atchison County,Kansas,Atchison County, KS,354,2124,17,27,-10,20005,NA
Athens County,Ohio,Athens County, OH,5138,21764,24,28,-4,39009,NA
Atlantic County,New Jersey,Atlantic County, NJ,6112,13882,44,37,7,34001,191.111514698957
Augusta County,Virginia,Augusta County, VA,1073,3462,31,29,2,51015,30.9668772558848
Avery County,North Carolina,Avery County, NC,627,1733,36,35,1,37011,NA
Baldwin County,Alabama,Baldwin County, AL,5089,20199,25,33,-8,01003,58.1156739266069
Baldwin County,Georgia,Baldwin County, GA,3600,13106,27,40,-13,13009,NA
Baltimore City,Maryland,Baltimore City, MD,10126,29052,35,29,6,NA,NA
Baltimore County,Maryland,Baltimore County, MD,18126,54022,34,29,5,24005,548.037924555274
Bamberg County,South Carolina,Bamberg County, SC,513,906,57,33,24,45009,NA
Bannock County,Idaho,Bannock County, ID,2911,9624,30,27,3,16005,30.6327978147645
Baraga County,Michigan,Baraga County, MI,41,79,52,30,22,26013,NA
Barbour County,West Virginia,Barbour County, WV,440,766,57,32,25,54001,NA
Barnes County,North Dakota,Barnes County, ND,272,1541,18,21,-3,38003,NA
Barnstable County,Massachusetts,Barnstable County, MA,1101,4336,25,27,-2,25001,227.619957262948
Barranquitas Municipio,Puerto Rico,Barranquitas Municipio, PR,1367,1647,83,73,10,NA,NA
Barren County,Kentucky,Barren County, KY,49,58,84,35,49,21009,NA
Barry County,Michigan,Barry County, MI,20,108,19,30,-11,26015,NA
Barton County,Kansas,Barton County, KS,686,4094,17,27,-10,20009,NA
Bastrop County,Texas,Bastrop County, TX,100,236,42,33,9,48021,44.3659007225607
Baxter County,Arkansas,Baxter County, AR,583,1271,46,37,9,05005,NA
Bay County,Florida,Bay County, FL,1436,4626,31,38,-7,12005,91.1988728509945
Bay County,Michigan,Bay County, MI,2678,7060,38,30,8,26017,89.9120331434342
Bayamón Municipio,Puerto Rico,Bayamón Municipio, PR,24040,36986,65,73,-8,NA,NA
Beaufort County,North Carolina,Beaufort County, NC,437,1412,31,35,-4,37013,NA
Beaufort County,South Carolina,Beaufort County, SC,1517,4118,37,33,4,45013,128.492717175618
Beaver County,Pennsylvania,Beaver County, PA,1023,2976,34,30,4,42007,147.991249491574
Beaverhead County,Montana,Beaverhead County, MT,554,1436,39,27,12,30001,NA
Bedford County,Tennessee,Bedford County, TN,284,647,44,37,7,47003,NA
Bee County,Texas,Bee County, TX,1225,4099,30,33,-3,48025,NA
Belknap County,New Hampshire,Belknap County, NH,238,778,31,39,-8,33001,NA
Bell County,Kentucky,Bell County, KY,58,109,53,35,18,21013,NA
Bell County,Texas,Bell County, TX,3921,10472,37,33,4,48027,139.420244497032
Belmont County,Ohio,Belmont County, OH,438,1937,23,28,-5,39013,47.779024075039
Beltrami County,Minnesota,Beltrami County, MN,1519,5199,29,26,3,27007,NA
Bennington County,Vermont,Bennington County, VT,145,697,21,22,-1,50003,NA
Benson County,North Dakota,Benson County, ND,110,182,60,21,39,38005,NA
Benton County,Arkansas,Benton County, AR,2218,9679,23,37,-14,05007,133.79038899695
Benton County,Oregon,Benton County, OR,6135,26740,23,30,-7,41003,54.9072516548859
