GEO_ID,NAME,estimated_population
0500000US01003,"Baldwin County, Alabama",239294
0500000US01015,"Calhoun County, Alabama",115972
0500000US01043,"Cullman County, Alabama",89496
0500000US01049,"DeKalb County, Alabama",71813
0500000US01051,"Elmore County, Alabama",89304
0500000US01055,"Etowah County, Alabama",103162
0500000US01069,"Houston County, Alabama",107458
0500000US01073,"Jefferson County, Alabama",667820
0500000US01077,"Lauderdale County, Alabama",94043
0500000US01081,"Lee County, Alabama",177218
0500000US01083,"Limestone County, Alabama",107517
0500000US01089,"Madison County, Alabama",395211
0500000US01095,"Marshall County, Alabama",98228
0500000US01097,"Mobile County, Alabama",413073
0500000US01101,"Montgomery County, Alabama",227434
0500000US01103,"Morgan County, Alabama",123668
0500000US01115,"St. Clair County, Alabama",92748
0500000US01117,"Shelby County, Alabama",226902
0500000US01121,"Talladega County, Alabama",81524
0500000US01125,"Tuscaloosa County, Alabama",227007
0500000US02020,"Anchorage Municipality, Alaska",288121
0500000US02090,"Fairbanks North Star Borough, Alaska",95593
0500000US02170,"Matanuska-Susitna Borough, Alaska",110686
0500000US04001,"Apache County, Arizona",65623
0500000US04003,"Cochise County, Arizona",126050
0500000US04005,"Coconino County, Arizona",145052
0500000US04013,"Maricopa County, Arizona",4496588
0500000US04015,"Mohave County, Arizona",217692
0500000US04017,"Navajo County, Arizona",108147
0500000US04019,"Pima County, Arizona",1052030
0500000US04021,"Pinal County, Arizona",449557
0500000US04025,"Yavapai County, Arizona",242253
0500000US04027,"Yuma County, Arizona",206990
0500000US05007,"Benton County, Arkansas",293692
0500000US05031,"Craighead County, Arkansas",112218
0500000US05045,"Faulkner County, Arkansas",125106
0500000US05051,"Garland County, Arkansas",100330
0500000US05069,"Jefferson County, Arkansas",65861
0500000US05085,"Lonoke County, Arkansas",74722
0500000US05119,"Pulaski County, Arkansas",397821
0500000US05125,"Saline County, Arkansas",125233
0500000US05131,"Sebastian County, Arkansas",128400
0500000US05143,"Washington County, Arkansas",250057
0500000US05145,"White County, Arkansas",77207
0500000US06001,"Alameda County, California",1648556
0500000US06007,"Butte County, California",208309
0500000US06013,"Contra Costa County, California",1161413
0500000US06017,"El Dorado County, California",193221
0500000US06019,"Fresno County, California",1013581
0500000US06023,"Humboldt County, California",136310
0500000US06025,"Imperial County, California",179851
0500000US06029,"Kern County, California",917673
0500000US06031,"Kings County, California",153443
0500000US06033,"Lake County, California",68766
0500000US06037,"Los Angeles County, California",9829544
0500000US06039,"Madera County, California",159410
0500000US06041,"Marin County, California",260206
0500000US06045,"Mendocino County, California",91305
0500000US06047,"Merced County, California",286461
0500000US06053,"Monterey County, California",437325
0500000US06055,"Napa County, California",136207
0500000US06057,"Nevada County, California",103487
0500000US06059,"Orange County, California",3167809
0500000US06061,"Placer County, California",412300
0500000US06065,"Riverside County, California",2458395
0500000US06067,"Sacramento County, California",1588921
0500000US06069,"San Benito County, California",66677
0500000US06071,"San Bernardino County, California",2194710
0500000US06073,"San Diego County, California",3286069
0500000US06075,"San Francisco County, California",815201
0500000US06077,"San Joaquin County, California",789410
0500000US06079,"San Luis Obispo County, California",283159
0500000US06081,"San Mateo County, California",737888
0500000US06083,"Santa Barbara County, California",446475
0500000US06085,"Santa Clara County, California",1885508
0500000US06087,"Santa Cruz County, California",267792
0500000US06089,"Shasta County, California",182139
0500000US06095,"Solano County, California",451716
0500000US06097,"Sonoma County, California",485887
0500000US06099,"Stanislaus County, California",552999
0500000US06101,"Sutter County, California",99063
0500000US06103,"Tehama County, California",65498
0500000US06107,"Tulare County, California",477054
0500000US06111,"Ventura County, California",839784
0500000US06113,"Yolo County, California",216986
0500000US06115,"Yuba County, California",83421
0500000US08001,"Adams County, Colorado",522140
0500000US08005,"Arapahoe County, Colorado",654900
0500000US08013,"Boulder County, Colorado",329543
0500000US08014,"Broomfield County, Colorado",75325
0500000US08031,"Denver County, Colorado",711463
0500000US08035,"Douglas County, Colorado",368990
0500000US08041,"El Paso County, Colorado",737867
0500000US08059,"Jefferson County, Colorado",579581
0500000US08069,"Larimer County, Colorado",362533
0500000US08077,"Mesa County, Colorado",157335
0500000US08101,"Pueblo County, Colorado",169622
0500000US08123,"Weld County, Colorado",340036
0500000US09001,"Fairfield County, Connecticut",959768
0500000US09003,"Hartford County, Connecticut",896854
0500000US09005,"Litchfield County, Connecticut",185000
0500000US09007,"Middlesex County, Connecticut",164759
0500000US09009,"New Haven County, Connecticut",863700
0500000US09011,"New London County, Connecticut",268805
0500000US09013,"Tolland County, Connecticut",150293
0500000US09015,"Windham County, Connecticut",116418
0500000US10001,"Kent County, Delaware",184149
0500000US10003,"New Castle County, Delaware",571708
0500000US10005,"Sussex County, Delaware",247527
0500000US11001,"District of Columbia, District of Columbia",670050
0500000US12001,"Alachua County, Florida",279238
0500000US12005,"Bay County, Florida",179168
0500000US12009,"Brevard County, Florida",616628
0500000US12011,"Broward County, Florida",1930983
0500000US12015,"Charlotte County, Florida",194843
0500000US12017,"Citrus County, Florida",158083
0500000US12019,"Clay County, Florida",222361
0500000US12021,"Collier County, Florida",385980
0500000US12023,"Columbia County, Florida",70385
0500000US12031,"Duval County, Florida",999935
0500000US12033,"Escambia County, Florida",322390
0500000US12035,"Flagler County, Florida",120932
0500000US12053,"Hernando County, Florida",200638
0500000US12055,"Highlands County, Florida",103296
0500000US12057,"Hillsborough County, Florida",1478194
0500000US12061,"Indian River County, Florida",163662
0500000US12069,"Lake County, Florida",395804
0500000US12071,"Lee County, Florida",787976
0500000US12073,"Leon County, Florida",292817
0500000US12081,"Manatee County, Florida",412703
0500000US12083,"Marion County, Florida",385915
0500000US12085,"Martin County, Florida",159942
